neighbourhood_cleansed,count
"Union Station, Stanton Park, Kingman Park",80
"Capitol Hill, Lincoln Park",66
"Edgewood, Bloomingdale, Truxton Circle, Eckington",66
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",64
"Brightwood Park, Crestwood, Petworth",53
"Shaw, Logan Circle",46
"Georgetown, Burleith/Hillandale",24
"Dupont Circle, Connecticut Avenue/K Street",22
"Takoma, Brightwood, Manor Park",21
"Howard University, Le Droit Park, Cardozo/Shaw",21
"Ivy City, Arboretum, Trinidad, Carver Langston",15
"Friendship Heights, American University Park, Tenleytown",15
"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",13
"Kalorama Heights, Adams Morgan, Lanier Heights",12
"Brookland, Brentwood, Langdon",12
"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",11
"North Michigan Park, Michigan Park, University Heights",10
"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",10
"North Cleveland Park, Forest Hills, Van Ness",7
"Capitol View, Marshall Heights, Benning Heights",7
