category,count
"Washington, DC",1255
NA,77
"New York, NY",25
"Washington D.C., DC",24
United States,21
"Fairfax, VA",9
"Hawthorne, NJ",7
"Washington, D.C., DC",5
"London, United Kingdom",5
"Reddick, FL",4
"Rocky Point, NY",4
"Bethesda, MD",4
"Alexandria, VA",3
"Berkeley, CA",2
"Berlin, Germany",2
"Evergreen, CO",2
"Takoma Park, MD",2
"Kigali, Rwanda",2
"Oakton, VA",2
"Silver Spring, MD",2
"Germantown, MD",2
"Centreville, VA",2
"Mexico City, Mexico",1
"San Miguel de Allende, Mexico",1
"Baltimore, MD",1
"Cape Canaveral, FL",1
"Jerusalem, Israel",1
"Maryland, United States",1
"Edenton, NC",1
"Miami, FL",1
"Seattle, WA",1
"Berryville, VA",1
"Reston, VA",1
"Sarasota, FL",1
"Abell, MD",1
"Dallas, TX",1
"Indore, India",1
"Fairbanks, AK",1
"Ibanda, Uganda",1
"San Francisco, CA",1
"Anchorage, AK",1
"Charlottesville, VA",1
"Atlanta, GA",1
"West Hollywood, CA",1
"Herriman, UT",1
"Magnolia, DE",1
"Jupiter, FL",1
"Tysons, VA",1
"Phoenix, AZ",1
"Constanza, Dominican Republic",1
"Annapolis, MD",1
"St. Petersburg, FL",1
"Ellicott City, MD",1
"Dunedin, FL",1
"Bend, OR",1
"Fort Washington, MD",1
"Bowie, MD",1
"Vienna, VA",1
