variable,status,n,bins,min,max,mean,median,std
host_response_rate,OK,568.0,11.0,0.0,100.0,96.40140845070422,100.0,15.792217787048772
host_acceptance_rate,OK,601.0,11.0,0.0,100.0,86.92678868552413,98.0,25.467521103756216
host_total_listings_count,OK,635.0,11.0,1.0,14.0,2.5244094488188975,2.0,1.981926083202819
accommodates,OK,635.0,11.0,1.0,7.0,3.0929133858267717,3.0,1.4459331144110728
bathrooms_text,NO_ENCONTRADA,,,,,,,
beds,OK,496.0,10.0,0.0,3.0,1.5262096774193548,1.0,0.6751868790217479
price,OK,496.0,10.0,22.0,475.0,127.65322580645162,115.0,57.75843730990512
maximum_nights_avg_ntm,OK,635.0,11.0,3.0,1125.0,788.2845669291339,1125.0,467.7865481049485
availability_365,OK,635.0,11.0,0.0,365.0,178.70866141732284,185.0,117.09983272368571
number_of_reviews,OK,635.0,11.0,0.0,554.0,165.25511811023622,128.0,137.40022287981537
review_scores_value,OK,625.0,11.0,4.45,5.0,4.828944,4.84,0.09895692406553883
reviews_per_month,OK,625.0,11.0,0.01,5.99,1.7599519999999997,1.42,1.3661737102823586
